Epoch: 1 | Iteration number: [10/565] 1% | Training loss: 0.7642403066158294
Epoch: 1 | Iteration number: [20/565] 3% | Training loss: 0.7293411999940872
Epoch: 1 | Iteration number: [30/565] 5% | Training loss: 0.7176139712333679
Epoch: 1 | Iteration number: [40/565] 7% | Training loss: 0.7117257818579674
Epoch: 1 | Iteration number: [50/565] 8% | Training loss: 0.7082444512844086
Epoch: 1 | Iteration number: [60/565] 10% | Training loss: 0.7058819661537806
Epoch: 1 | Iteration number: [70/565] 12% | Training loss: 0.7042133407933372
Epoch: 1 | Iteration number: [80/565] 14% | Training loss: 0.7028465807437897
Epoch: 1 | Iteration number: [90/565] 15% | Training loss: 0.7018338117334578
Epoch: 1 | Iteration number: [100/565] 17% | Training loss: 0.7010082137584687
Epoch: 1 | Iteration number: [110/565] 19% | Training loss: 0.7003322612155568
Epoch: 1 | Iteration number: [120/565] 21% | Training loss: 0.6997548282146454
Epoch: 1 | Iteration number: [130/565] 23% | Training loss: 0.6992765431220714
Epoch: 1 | Iteration number: [140/565] 24% | Training loss: 0.6988596950258528
Epoch: 1 | Iteration number: [150/565] 26% | Training loss: 0.6984934333960215
Epoch: 1 | Iteration number: [160/565] 28% | Training loss: 0.6981680251657962
Epoch: 1 | Iteration number: [170/565] 30% | Training loss: 0.697855873668895
Epoch: 1 | Iteration number: [180/565] 31% | Training loss: 0.6975605289141337
Epoch: 1 | Iteration number: [190/565] 33% | Training loss: 0.6973304833236493
Epoch: 1 | Iteration number: [200/565] 35% | Training loss: 0.697093959748745
Epoch: 1 | Iteration number: [210/565] 37% | Training loss: 0.6968846988110315
Epoch: 1 | Iteration number: [220/565] 38% | Training loss: 0.6967053351077166
Epoch: 1 | Iteration number: [230/565] 40% | Training loss: 0.6965295161889947
Epoch: 1 | Iteration number: [240/565] 42% | Training loss: 0.6963820780316988
Epoch: 1 | Iteration number: [250/565] 44% | Training loss: 0.6962119603157043
Epoch: 1 | Iteration number: [260/565] 46% | Training loss: 0.6960621288189521
Epoch: 1 | Iteration number: [270/565] 47% | Training loss: 0.695929518673155
Epoch: 1 | Iteration number: [280/565] 49% | Training loss: 0.6957813565220151
Epoch: 1 | Iteration number: [290/565] 51% | Training loss: 0.6956509851176164
Epoch: 1 | Iteration number: [300/565] 53% | Training loss: 0.6955359478791555
Epoch: 1 | Iteration number: [310/565] 54% | Training loss: 0.6954125633162836
Epoch: 1 | Iteration number: [320/565] 56% | Training loss: 0.6953056132420897
Epoch: 1 | Iteration number: [330/565] 58% | Training loss: 0.6952114887309797
Epoch: 1 | Iteration number: [340/565] 60% | Training loss: 0.6951187398503809
Epoch: 1 | Iteration number: [350/565] 61% | Training loss: 0.6950221451691219
Epoch: 1 | Iteration number: [360/565] 63% | Training loss: 0.6949371134241422
Epoch: 1 | Iteration number: [370/565] 65% | Training loss: 0.6948553262530146
Epoch: 1 | Iteration number: [380/565] 67% | Training loss: 0.6947598852609334
Epoch: 1 | Iteration number: [390/565] 69% | Training loss: 0.6946774930526048
Epoch: 1 | Iteration number: [400/565] 70% | Training loss: 0.6946070298552514
Epoch: 1 | Iteration number: [410/565] 72% | Training loss: 0.6945245345918144
Epoch: 1 | Iteration number: [420/565] 74% | Training loss: 0.6944503630910601
Epoch: 1 | Iteration number: [430/565] 76% | Training loss: 0.6943895176399586
Epoch: 1 | Iteration number: [440/565] 77% | Training loss: 0.6943324541503733
Epoch: 1 | Iteration number: [450/565] 79% | Training loss: 0.6942713121573131
Epoch: 1 | Iteration number: [460/565] 81% | Training loss: 0.6942114652498909
Epoch: 1 | Iteration number: [470/565] 83% | Training loss: 0.6941515824896224
Epoch: 1 | Iteration number: [480/565] 84% | Training loss: 0.6940839756280184
Epoch: 1 | Iteration number: [490/565] 86% | Training loss: 0.6940240276103117
Epoch: 1 | Iteration number: [500/565] 88% | Training loss: 0.6939729058742523
Epoch: 1 | Iteration number: [510/565] 90% | Training loss: 0.6939116356419582
Epoch: 1 | Iteration number: [520/565] 92% | Training loss: 0.6938528830042252
Epoch: 1 | Iteration number: [530/565] 93% | Training loss: 0.6937871278456922
Epoch: 1 | Iteration number: [540/565] 95% | Training loss: 0.6937406848978114
Epoch: 1 | Iteration number: [550/565] 97% | Training loss: 0.6936964971368963
Epoch: 1 | Iteration number: [560/565] 99% | Training loss: 0.6936511990215097

 End of epoch: 1 | Train Loss: 0.6924023601861127 | Training Time: 90 

 End of epoch: 1 | Eval Loss: 0.693605397428785 | Evaluating Time: 5 
Epoch: 2 | Iteration number: [10/565] 1% | Training loss: 0.7598311483860016
Epoch: 2 | Iteration number: [20/565] 3% | Training loss: 0.7254505097866059
Epoch: 2 | Iteration number: [30/565] 5% | Training loss: 0.7139148672421773
Epoch: 2 | Iteration number: [40/565] 7% | Training loss: 0.7079897910356522
Epoch: 2 | Iteration number: [50/565] 8% | Training loss: 0.7044783151149749
Epoch: 2 | Iteration number: [60/565] 10% | Training loss: 0.7021368314822515
Epoch: 2 | Iteration number: [70/565] 12% | Training loss: 0.7005531106676374
Epoch: 2 | Iteration number: [80/565] 14% | Training loss: 0.699324406683445
Epoch: 2 | Iteration number: [90/565] 15% | Training loss: 0.698393589258194
Epoch: 2 | Iteration number: [100/565] 17% | Training loss: 0.6976030123233795
Epoch: 2 | Iteration number: [110/565] 19% | Training loss: 0.6969882488250733
