Epoch: 1 | Iteration number: [10/50] 20% | Training loss: 1.086862999200821
Epoch: 1 | Iteration number: [20/50] 40% | Training loss: 1.0258270621299743
Epoch: 1 | Iteration number: [30/50] 60% | Training loss: 0.9994392434755961
Epoch: 1 | Iteration number: [40/50] 80% | Training loss: 0.9823305994272232

 End of epoch: 1 | Train Loss: 0.9512239027023316 | Training Time: 12 

 End of epoch: 1 | Eval Loss: 0.9282649840627398 | Evaluating Time: 6 
Epoch: 2 | Iteration number: [10/50] 20% | Training loss: 1.0001395225524903
Epoch: 2 | Iteration number: [20/50] 40% | Training loss: 0.9521255552768707
Epoch: 2 | Iteration number: [30/50] 60% | Training loss: 0.9349752763907114
Epoch: 2 | Iteration number: [40/50] 80% | Training loss: 0.9256265327334404

 End of epoch: 2 | Train Loss: 0.901604642868042 | Training Time: 12 

 End of epoch: 2 | Eval Loss: 0.8942376460347857 | Evaluating Time: 6 
Epoch: 3 | Iteration number: [10/50] 20% | Training loss: 0.9834909498691559
Epoch: 3 | Iteration number: [20/50] 40% | Training loss: 0.9380987554788589
Epoch: 3 | Iteration number: [30/50] 60% | Training loss: 0.9225272357463836
Epoch: 3 | Iteration number: [40/50] 80% | Training loss: 0.9143543988466263

 End of epoch: 3 | Train Loss: 0.8915846514701843 | Training Time: 12 

 End of epoch: 3 | Eval Loss: 0.8857312287603106 | Evaluating Time: 6 
Epoch: 4 | Iteration number: [10/50] 20% | Training loss: 0.9764443755149841
Epoch: 4 | Iteration number: [20/50] 40% | Training loss: 0.9314030468463897
Epoch: 4 | Iteration number: [30/50] 60% | Training loss: 0.9160545746485392
Epoch: 4 | Iteration number: [40/50] 80% | Training loss: 0.907859867811203

 End of epoch: 4 | Train Loss: 0.8855161142349243 | Training Time: 12 

 End of epoch: 4 | Eval Loss: 0.8831115620476859 | Evaluating Time: 5 
Epoch: 5 | Iteration number: [10/50] 20% | Training loss: 0.972271990776062
Epoch: 5 | Iteration number: [20/50] 40% | Training loss: 0.9266545802354813
Epoch: 5 | Iteration number: [30/50] 60% | Training loss: 0.9110483666261037
Epoch: 5 | Iteration number: [40/50] 80% | Training loss: 0.90309127420187

 End of epoch: 5 | Train Loss: 0.8805188167095185 | Training Time: 12 

 End of epoch: 5 | Eval Loss: 0.8764616676739284 | Evaluating Time: 6 
Epoch: 6 | Iteration number: [10/50] 20% | Training loss: 0.9638124525547027
Epoch: 6 | Iteration number: [20/50] 40% | Training loss: 0.919237419962883
Epoch: 6 | Iteration number: [30/50] 60% | Training loss: 0.9041947762171427
Epoch: 6 | Iteration number: [40/50] 80% | Training loss: 0.896536611020565

 End of epoch: 6 | Train Loss: 0.8740466165542603 | Training Time: 12 

 End of epoch: 6 | Eval Loss: 0.8728081413677761 | Evaluating Time: 6 
Epoch: 7 | Iteration number: [10/50] 20% | Training loss: 0.9579388916492462
Epoch: 7 | Iteration number: [20/50] 40% | Training loss: 0.9137420445680619
Epoch: 7 | Iteration number: [30/50] 60% | Training loss: 0.8986039062341055
Epoch: 7 | Iteration number: [40/50] 80% | Training loss: 0.8909153416752815

 End of epoch: 7 | Train Loss: 0.8687693178653717 | Training Time: 12 

 End of epoch: 7 | Eval Loss: 0.8662176643099103 | Evaluating Time: 6 
Epoch: 8 | Iteration number: [10/50] 20% | Training loss: 0.9523701608181
Epoch: 8 | Iteration number: [20/50] 40% | Training loss: 0.9080919951200486
Epoch: 8 | Iteration number: [30/50] 60% | Training loss: 0.8933060487111409
Epoch: 8 | Iteration number: [40/50] 80% | Training loss: 0.8855894640088081

 End of epoch: 8 | Train Loss: 0.863479380607605 | Training Time: 12 

 End of epoch: 8 | Eval Loss: 0.8587483167648315 | Evaluating Time: 6 
Epoch: 9 | Iteration number: [10/50] 20% | Training loss: 0.946193915605545
Epoch: 9 | Iteration number: [20/50] 40% | Training loss: 0.902585569024086
Epoch: 9 | Iteration number: [30/50] 60% | Training loss: 0.8878513316313426
Epoch: 9 | Iteration number: [40/50] 80% | Training loss: 0.8804104954004288

 End of epoch: 9 | Train Loss: 0.8584454917907715 | Training Time: 12 

 End of epoch: 9 | Eval Loss: 0.8525830847876412 | Evaluating Time: 6 
Epoch: 10 | Iteration number: [10/50] 20% | Training loss: 0.9412826538085938
Epoch: 10 | Iteration number: [20/50] 40% | Training loss: 0.8980365008115768
Epoch: 10 | Iteration number: [30/50] 60% | Training loss: 0.8831136206785838
Epoch: 10 | Iteration number: [40/50] 80% | Training loss: 0.875459335744381

 End of epoch: 10 | Train Loss: 0.8536202991008759 | Training Time: 12 

 End of epoch: 10 | Eval Loss: 0.8464269212314061 | Evaluating Time: 6 
Epoch: 11 | Iteration number: [10/50] 20% | Training loss: 0.9359992742538452
Epoch: 11 | Iteration number: [20/50] 40% | Training loss: 0.8926240056753159
Epoch: 11 | Iteration number: [30/50] 60% | Training loss: 0.8779480735460917
Epoch: 11 | Iteration number: [40/50] 80% | Training loss: 0.8703533917665481

 End of epoch: 11 | Train Loss: 0.8488179039955139 | Training Time: 12 

 End of epoch: 11 | Eval Loss: 0.8435400894709996 | Evaluating Time: 6 
Epoch: 12 | Iteration number: [10/50] 20% | Training loss: 0.9313891530036926
Epoch: 12 | Iteration number: [20/50] 40% | Training loss: 0.8886753559112549
Epoch: 12 | Iteration number: [30/50] 60% | Training loss: 0.8739303568998973
Epoch: 12 | Iteration number: [40/50] 80% | Training loss: 0.8662157282233238

 End of epoch: 12 | Train Loss: 0.8446708071231842 | Training Time: 12 

 End of epoch: 12 | Eval Loss: 0.8382992659296308 | Evaluating Time: 6 
Epoch: 13 | Iteration number: [10/50] 20% | Training loss: 0.9254344582557679
Epoch: 13 | Iteration number: [20/50] 40% | Training loss: 0.8830623805522919
Epoch: 13 | Iteration number: [30/50] 60% | Training loss: 0.8684780796368917
Epoch: 13 | Iteration number: [40/50] 80% | Training loss: 0.8610351517796516

 End of epoch: 13 | Train Loss: 0.8396750581264496 | Training Time: 12 

 End of epoch: 13 | Eval Loss: 0.8329461302076068 | Evaluating Time: 6 
Epoch: 14 | Iteration number: [10/50] 20% | Training loss: 0.920072329044342
Epoch: 14 | Iteration number: [20/50] 40% | Training loss: 0.8778983175754547
Epoch: 14 | Iteration number: [30/50] 60% | Training loss: 0.8637210627396902
Epoch: 14 | Iteration number: [40/50] 80% | Training loss: 0.8561554387211799

 End of epoch: 14 | Train Loss: 0.8350525307655334 | Training Time: 12 

 End of epoch: 14 | Eval Loss: 0.8339977094105312 | Evaluating Time: 6 
Epoch: 15 | Iteration number: [10/50] 20% | Training loss: 0.9159957289695739
Epoch: 15 | Iteration number: [20/50] 40% | Training loss: 0.8737819910049438
Epoch: 15 | Iteration number: [30/50] 60% | Training loss: 0.8594645361105601
Epoch: 15 | Iteration number: [40/50] 80% | Training loss: 0.8521902576088906

 End of epoch: 15 | Train Loss: 0.8309852969646454 | Training Time: 12 

 End of epoch: 15 | Eval Loss: 0.8261702401297433 | Evaluating Time: 6 
Epoch: 16 | Iteration number: [10/50] 20% | Training loss: 0.9111894607543946
Epoch: 16 | Iteration number: [20/50] 40% | Training loss: 0.8689889937639237
Epoch: 16 | Iteration number: [30/50] 60% | Training loss: 0.8548465569814047
Epoch: 16 | Iteration number: [40/50] 80% | Training loss: 0.847350399196148

 End of epoch: 16 | Train Loss: 0.8262521600723267 | Training Time: 12 

 End of epoch: 16 | Eval Loss: 0.8205469420978001 | Evaluating Time: 6 
Epoch: 17 | Iteration number: [10/50] 20% | Training loss: 0.9060757577419281
Epoch: 17 | Iteration number: [20/50] 40% | Training loss: 0.8642788916826248
Epoch: 17 | Iteration number: [30/50] 60% | Training loss: 0.8501772999763488
Epoch: 17 | Iteration number: [40/50] 80% | Training loss: 0.8428914353251458

 End of epoch: 17 | Train Loss: 0.8220399165153504 | Training Time: 12 

 End of epoch: 17 | Eval Loss: 0.8178560648645673 | Evaluating Time: 6 
Epoch: 18 | Iteration number: [10/50] 20% | Training loss: 0.9006864488124847
Epoch: 18 | Iteration number: [20/50] 40% | Training loss: 0.8593196183443069
Epoch: 18 | Iteration number: [30/50] 60% | Training loss: 0.84559272925059
Epoch: 18 | Iteration number: [40/50] 80% | Training loss: 0.8382777079939843

 End of epoch: 18 | Train Loss: 0.8176934480667114 | Training Time: 12 

 End of epoch: 18 | Eval Loss: 0.8142233490943909 | Evaluating Time: 6 
Epoch: 19 | Iteration number: [10/50] 20% | Training loss: 0.8983713090419769
Epoch: 19 | Iteration number: [20/50] 40% | Training loss: 0.8569134622812271
Epoch: 19 | Iteration number: [30/50] 60% | Training loss: 0.8427995840708414
Epoch: 19 | Iteration number: [40/50] 80% | Training loss: 0.8354663491249085

 End of epoch: 19 | Train Loss: 0.8145235013961792 | Training Time: 11 

 End of epoch: 19 | Eval Loss: 0.8061440757342747 | Evaluating Time: 6 
Epoch: 20 | Iteration number: [10/50] 20% | Training loss: 0.8929413139820099
Epoch: 20 | Iteration number: [20/50] 40% | Training loss: 0.8517835736274719
Epoch: 20 | Iteration number: [30/50] 60% | Training loss: 0.8377967536449432
Epoch: 20 | Iteration number: [40/50] 80% | Training loss: 0.8305947870016098

 End of epoch: 20 | Train Loss: 0.8099848306179047 | Training Time: 12 

 End of epoch: 20 | Eval Loss: 0.803717315196991 | Evaluating Time: 5 
Epoch: 21 | Iteration number: [10/50] 20% | Training loss: 0.8881097614765168
Epoch: 21 | Iteration number: [20/50] 40% | Training loss: 0.8471645712852478
Epoch: 21 | Iteration number: [30/50] 60% | Training loss: 0.8334889590740204
Epoch: 21 | Iteration number: [40/50] 80% | Training loss: 0.8263088777661324

 End of epoch: 21 | Train Loss: 0.8058923280239105 | Training Time: 12 

 End of epoch: 21 | Eval Loss: 0.8017276099749974 | Evaluating Time: 6 
Epoch: 22 | Iteration number: [10/50] 20% | Training loss: 0.8837274312973022
Epoch: 22 | Iteration number: [20/50] 40% | Training loss: 0.8430964022874832
Epoch: 22 | Iteration number: [30/50] 60% | Training loss: 0.8293581982453664
Epoch: 22 | Iteration number: [40/50] 80% | Training loss: 0.8221904799342156

 End of epoch: 22 | Train Loss: 0.8019008934497833 | Training Time: 12 

